Unnamed: 0,#CASE,DOF_PITCH_BC_,DOF_BETA1_GEOM_,DOF_BETA2_GEOM_,DOF_W1_GEOM_,DOF_W2_GEOM_,DOF_TMOVXU_GEOM_,DOF_TMOVXL_GEOM_,OF_alfa_ex_OP_01,OF_Cpt_OP_01,OF_CSI_OP_01,OF_phi_OP_01,OF_psi_OP_01,OF_Zwi_OP_01,OF_Zwc_OP_01,OF_DFss_mis_OP_01,OF_DFss_cp_OP_01,OF_Mis_peak_OP_01,OF_s_peak_OP_01,OF_s_diff_dim_OP_01,OF_s_tot_SS_OP_01,OF_Tmax_OP_01,OF_X_Tmax_OP_01
49,999,0.08602789853,4.707031,-68.54492,0.3179688,0.7216797,0.1586426,0.1989746,-64.117,0.02745,0.02564,0.5306031228,1.187119293,0.7361885717,0.7038899869,1.1772,0.9615,0.4571,0.7434,0.03757,0.1464,0.012312362,0.349999785
50,1009,0.1239948371,10.33203,-68.23242,0.04296875,0.2529297,0.08208008,0.1005371,-63.131,0.02358,0.02201,0.5563509201,1.196199356,1.092715419,1.044644159,1.3214,0.9317,0.4955,0.5469,0.07133,0.1574,0.012318667,0.292160064
51,1025,0.1062755725,6.455078,-68.45215,0.08945312,0.222168,-0.002514648,0.004321289,-64.452,0.02532,0.02364,0.522001196,1.18408579,0.8998504766,0.8604128042,1.2038,0.9557,0.4652,0.6421,0.05589,0.1561,0.0123205809,0.230140001
52,1031,0.09314741419,3.955078,-67.20215,0.1894531,0.597168,-0.04626465,-0.03942871,-63.131,0.02728,0.02547,0.5563509201,1.196199356,0.8212712436,0.7851382498,1.1452,0.9677,0.4527,0.7146,0.04308,0.151,0.0123202419,0.197339982
53,1065,0.1061883682,12.39258,-69.8584,0.1769531,0.675293,0.0138916,0.18479,-63.387,0.02479,0.02315,0.549602842,1.193819619,0.928203386,0.8873978776,1.2332,0.9503,0.4694,0.6696,0.05049,0.1528,0.012152452,0.264860123
54,1108,0.1179172491,16.92383,-68.68652,0.008203125,0.8706055,-0.06540527,-0.03122559,-67.659,0.02721,0.02541,0.4430731178,1.15625149,0.8910183438,0.8523658047,1.1403,0.9688,0.4507,0.5544,0.07757,0.1741,0.0123092299,0.189440072
55,1115,0.09315169099,8.173828,-65.56152,0.1582031,0.8081055,0.04396973,-0.05310059,-62.267,0.02652,0.02476,0.5794650061,1.20435063,0.8417526844,0.8046320591,1.1426,0.9683,0.4514,0.6871,0.0466,0.1489,0.0122445161,0.242935047
56,1139,0.1203983763,12.86133,-66.65527,0.07070313,0.3549805,0.04943848,0.1164307,-61.104,0.02287,0.02135,0.6114454622,1.215628664,1.121481408,1.071881893,1.3093,0.9338,0.494,0.5519,0.06837,0.1526,0.012291519,0.278375119
57,1175,0.1257474384,2.783203,-61.30371,0.01132813,0.6713867,0.09182129,0.08225098,-59.539,0.02527,0.02359,0.6561758882,1.231403026,1.218772301,1.164666044,1.2974,0.9334,0.5024,0.4155,0.09004,0.1541,0.0123203844,0.292159945
58,1187,0.1218869524,15.5957,-69.89746,0.09882812,0.7182617,-0.07770996,0.05490723,-63.17,0.02384,0.02225,0.5553199807,1.195835791,1.071313303,1.0241884,1.2669,0.9433,0.4789,0.5982,0.06383,0.1589,0.0121733863,0.201335087
