#CASE,DOF_ALFAIN_BC_,DOF_PITCH_BC_,DOF_RE2IS_BC_,DOF_MA2IS_BC_,DOF_ARATIO_BC_,DOF_BETA1_G0_,DOF_BETA2_G0_,DOF_W1_G0_,DOF_W2_G0_,DOF_RTE_G1_,DOF_TMAXU_G1_,DOF_TMAXL_G1_,DOF_TMOVXU_G1_,DOF_TMOVXL_G1_,DOF_TUCP2_G2_,DOF_TUCP3_G2_,DOF_SUCP3_G2_,DOF_TUCP5_G2_,DOF_SUCP5_G2_,DOF_TLCP5_G2_,DOF_SLCP5_G2_,OF_alfa_ex_FL_OP_01,OF_Cpt_FL_OP_01,OF_CSI_FL_OP_01,OF_phi_FL_OP_01,OF_psi_FL_OP_01,OF_Zwc_FL_OP_01,OF_DFss_mis_LO_OP_01,OF_Ds_cp_LO_OP_01,OF_Tmax_GM_OP_01,OF_X_Tmax_GM_OP_01,OF_Wedge_TE_GM_OP_01,OF_UGT_GM_OP_01,OF_Area_GM_OP_01
224284,20.208,0.07756122329,84360.0,0.53208,1.329361,21.600567,-67.835201,0.741095,0.2929001,0.001632064,0.02123329,0.006931477,-0.115086,0.02871437,0.3386197,0.7793571,0.131124,0.6186562,0.5517826,0.4159348,0.6843433,-64.93,0.07237,0.06518,0.565100244,1.41601199,0.903628839,1.3425,0.7905,0.0247422513,0.189440042,12.27559699,26.4695492,0.00199591252
224285,28.411,0.08943682604,162810.0,0.68442,1.065689,8.2412,-71.70238,0.722345,0.1600876,0.001825033,0.008842667,0.009255695,0.1610859,-0.083395,0.4589322,0.6576384,0.1995615,0.5834999,0.6084232,0.5268723,0.6277027,-62.215,0.06359,0.05357,0.7369594137,1.797310675,0.8862620614,1.3253,2.3489,0.0141757531,0.380539894,8.08791852,31.9945068,0.00135456317
224288,21.849,0.07475986087,168660.0,0.7313,1.220377,22.928697,-60.608631,0.647345,0.06633759,0.001946908,0.02590517,0.00324007,0.1720234,0.1025425,0.3026822,0.7407634,0.1058115,0.3803749,0.5693607,0.5206223,0.7292652,-64.774,0.0627,0.05161,0.5808402967,1.465791899,0.7412833127,1.1905,1.6446,0.0249330904,0.365135103,11.1220193,14.8230085,0.00203049066
224289,26.849,0.1021536401,76130.0,0.48129,0.995377,7.9287,-67.108631,0.247345,0.5663376,0.001296908,0.01290517,0.01199007,-0.002976608,-0.0724575,0.4026822,0.9307634,0.1658115,0.6303749,0.6943607,0.4206223,0.6042652,-62.278,0.04676,0.0428,0.7159562598,1.724848783,0.9825470972,1.2728,1.8909,0.0224002562,0.22175999,13.04931712,23.8181324,0.00195520883
224294,26.38,0.07440267351,136220.0,0.55161,1.213346,30.584947,-58.030511,0.784845,0.2069626,0.0009515953,0.02956142,0.004607258,-0.008445358,-0.1326138,0.4245572,0.7942009,0.1526865,0.6850624,0.6279545,0.4549973,0.6237965,-61.555,0.10005,0.0897,0.7407269235,1.734755634,0.9127148213,1.4049,1.0383,0.0302746762,0.264860034,25.56617298,17.6373844,0.0025679369
224299,23.528,0.06640342246,106760.0,0.75669,1.3944,10.70214,-61.073476,0.29422,0.3358688,0.00161683,0.008131729,0.01123812,0.01206245,0.1886753,0.3050259,0.9470915,0.1034677,0.726078,0.7011967,0.401091,0.5114918,-64.295,0.07619,0.06207,0.6090174822,1.530324608,0.8271646619,1.1725,0.3037,0.0174550824,0.320540071,10.34896875,15.5806103,0.00148270512
224302,22.435,0.1273539203,86010.0,0.5145,0.9936192,1.48339,-75.65161,0.35672,0.3514938,0.0009058922,0.01503798,0.0169803,-0.0590313,0.1503941,0.3394009,0.691779,0.1728427,0.6713905,0.7363529,0.541716,0.5700855,-64.706,0.06586,0.05967,0.5871284577,1.484833159,1.076681345,1.3448,2.0545,0.028089013,0.32054013,21.75499918,35.2755356,0.00278813089
224307,26.731,0.07805715526,108180.0,0.72934,1.088541,19.217757,-65.706286,0.17547,0.9843063,0.0007129234,0.008334854,0.005906086,0.1897968,0.08203468,0.4065884,0.8431853,0.08940521,0.2534218,0.7265873,0.3526535,0.6814137,-63.453,0.04016,0.03295,0.6675787782,1.672419662,0.7419011736,1.1505,1.0255,0.0124986665,0.310959935,5.07355714,16.2938042,0.00110019883
224310,25.638,0.1067187538,236000.0,0.5184,1.208072,6.24901,-62.971916,0.08796997,0.4374313,0.001139486,0.0160536,0.01274202,0.1624531,-0.08749657,0.3472134,0.7659978,0.1437802,0.3393593,0.5273685,0.5370285,0.6853199,-64.327,0.03837,0.03462,0.6248362483,1.599762136,1.220039474,1.459,1.7499,0.0240449607,0.330240071,11.68217802,16.5789585,0.00211594487
224312,21.58,0.07565393184,117010.0,0.50742,1.112931,16.117168,-60.451901,0.2664856,0.9994431,0.0007224449,0.01766591,0.01305819,0.1544209,0.09348488,0.2945767,0.6860271,0.1020029,0.4577675,0.675684,0.4785324,0.5921803,-62.588,0.04796,0.04349,0.6524507406,1.516120218,0.7948915495,1.2745,1.5038,0.0261474624,0.34501496,20.36676982,13.5591784,0.00214741332
